Andrii_trial_6
Date:,2020/08/03
Time:,15:46:59
Type:,muscu_imu
Description:,""
Notes:,"Trial1_Flexion"

TRAJECTORIES
100.000000,Hz
,R_shoulder1,,,R_elbow2,,,R_wrist3
Field #,X,Y,Z,X,Y,Z,X,Y,Z
2001,407.888885,622.706116,317.027039,401.393616,516.666687,102.095512,405.376617,426.816772,-76.073441
2002,408.059174,623.029602,316.745148,401.305084,516.125549,102.495781,405.091553,425.367126,-74.887314
2003,408.035400,622.923096,316.863068,401.176056,515.620422,102.918678,404.921234,423.686859,-73.789772
2004,407.791382,622.496460,317.405121,400.723633,514.453735,103.780830,404.200012,421.472748,-72.179359
2005,407.850525,622.279297,317.503693,400.150635,513.511597,104.461792,403.150116,419.225464,-70.404762
2006,407.948669,622.106934,317.616333,399.394684,511.958862,105.482491,401.977112,416.551483,-68.693634
2007,407.947449,621.855347,317.705505,398.744873,510.599426,106.393616,400.266418,413.458374,-66.352226
2008,407.773773,621.503418,317.927856,397.590820,508.966980,107.514511,398.391052,410.114563,-63.843914
2009,407.736816,621.102966,318.232147,396.541412,507.276855,108.998192,396.330139,406.453094,-61.105480
2010,407.658386,620.735413,318.488281,395.275482,505.507538,110.426277,394.091339,402.420258,-57.872562
2011,407.389771,620.403870,318.984009,393.707977,503.352753,112.237343,392.015594,398.039124,-54.688248
2012,407.215729,620.272400,319.335510,392.274445,501.563843,113.838036,389.490570,393.364105,-50.491055
2013,406.870148,620.070862,320.085815,390.624054,499.561676,116.057213,387.230835,388.348114,-46.082912
2014,406.333282,620.019226,320.826965,388.668457,497.246857,118.522209,385.057281,383.161560,-41.351700
2015,406.086792,620.155212,321.002808,387.045319,495.024475,120.813805,382.803925,377.591461,-36.048882
2016,405.856201,620.168274,321.406464,385.287323,492.663269,123.406364,380.451843,371.741730,-30.041121
2017,405.293915,620.248596,322.438904,383.831848,489.802612,125.906693,378.302948,365.383881,-23.602913
2018,404.898499,620.473694,323.238708,381.591339,487.323273,129.550232,376.315216,358.941162,-16.818653
2019,404.354095,620.624451,324.030029,379.587189,484.948395,133.057907,374.357544,352.454926,-9.426167
2020,403.965271,620.929688,324.417877,377.896423,482.397491,136.572998,372.541901,345.904907,-1.485274
2021,403.350708,621.159180,325.446838,376.115143,479.654938,140.261719,370.920441,339.159576,6.865899
2022,402.715088,621.392639,326.319977,374.412628,477.057068,144.405762,369.592529,332.376862,15.893895
2023,402.614166,621.602356,326.740295,372.816254,474.349182,148.493134,368.095459,325.650940,25.167061
2024,402.297882,621.790039,327.537140,371.166138,471.504028,153.010162,366.975555,318.867554,34.783394
2025,401.836426,621.817871,328.458710,369.742249,468.675995,157.439362,366.078583,312.328125,44.908295
2026,401.299194,621.629944,329.248596,368.242279,465.757233,162.329346,365.272156,305.718048,55.259251
2027,401.121429,621.679932,329.429810,366.817596,462.967957,167.148987,364.364838,299.489746,66.208984
2028,400.660919,621.462585,330.272919,365.503723,459.985107,172.180847,364.057343,293.306519,76.803764
2029,400.116882,621.069214,331.080444,364.177094,457.096405,177.274475,363.485291,287.248474,88.139214
2030,399.990204,620.628052,331.653046,363.128082,454.421173,182.373993,363.374054,281.522919,99.366867
2031,399.584076,619.964233,332.269318,362.141388,451.750366,187.694717,363.288879,275.950623,110.875763
2032,399.067993,619.362488,332.879028,361.152588,449.185547,193.024841,363.354156,270.802307,122.484055
2033,398.740570,618.614197,333.332001,360.168060,446.739014,198.301895,363.849152,265.884460,134.075851
2034,398.287018,617.749268,334.141235,359.702637,444.154663,203.863693,364.792694,261.448639,146.298752
2035,398.118286,616.979675,334.530060,358.987427,442.021515,209.236893,365.545288,257.089081,158.880936
2036,397.923004,616.091614,335.153381,358.717957,439.911316,214.743942,366.952026,253.251190,171.317657
2037,397.601959,615.289001,335.687592,358.431671,437.797516,220.317184,368.590332,249.868729,183.949280
2038,397.208771,614.206848,336.379517,358.399536,435.736816,226.044815,370.422211,247.029327,196.980408
2039,396.939697,613.236206,336.889099,358.582306,434.004547,231.873810,372.340698,244.118271,210.058563
2040,396.632965,612.155090,337.474030,359.006805,432.366638,237.428131,374.894409,242.243073,223.147476
2041,396.589813,611.206177,337.818817,359.306732,431.078430,243.241135,377.640625,240.601334,236.693283
2042,396.331573,610.147522,338.390686,360.081299,429.798340,248.803375,380.433960,239.406631,250.194550
2043,396.232483,609.026001,339.004944,360.846283,428.909485,254.364426,383.729370,239.082275,263.697052
2044,396.018280,607.955566,339.726440,361.802124,428.144470,260.010559,386.975372,239.177307,277.695404
2045,395.754608,606.426208,340.599121,362.948730,427.541809,265.429321,390.174469,239.993805,291.552185
2046,395.737122,604.979187,341.083679,364.262390,427.166260,271.073395,393.342133,241.220795,305.705292
2047,395.439453,603.161926,341.551605,365.381317,427.039063,276.630737,396.797516,243.027313,319.595123
2048,395.257843,601.173706,342.109283,366.731934,426.840363,281.916290,400.465363,245.481796,333.107941
2049,395.047028,599.443298,342.559967,368.272614,427.132141,287.372864,404.195435,248.304581,346.140717
2050,395.179016,597.597351,342.796509,369.887604,427.240936,292.533020,408.126465,251.834259,358.625977
2051,395.451569,595.990662,342.925812,371.256042,427.351440,297.426514,411.978363,255.717926,371.036224
2052,395.667419,594.516418,343.303314,372.802032,427.990265,302.398407,415.943451,259.992401,383.121460
2053,395.760254,593.353088,343.601044,374.437958,428.457520,306.753235,419.897766,264.953888,394.340851
2054,396.127136,592.360962,343.922699,376.239197,429.525726,310.968536,423.655823,270.087189,405.527893
2055,396.683136,591.300903,344.428131,377.889191,430.490234,315.122528,427.974854,275.903442,415.561279
