Marta_trial 2
Date:,2020/07/29
Time:,17:14:48
Type:,muscu_imu
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,R_shoulder1,,,R_elbow2,,,R_wrist3
Field #,X,Y,Z,X,Y,Z,X,Y,Z
213,490.079559,-42.756130,416.712097,653.123291,-225.058182,422.243683,752.136108,-318.584656,402.002014
214,491.480896,-44.742290,422.098724,648.897949,-231.436981,433.954376,744.162598,-328.979004,417.550354
215,492.469971,-46.487671,427.036438,643.229065,-237.392334,445.822357,734.429321,-339.194885,433.251709
216,492.788177,-48.248772,431.840546,636.094360,-243.035904,457.238068,723.129944,-348.748962,449.071686
217,493.048309,-49.327927,436.016907,627.810791,-248.038757,468.301819,709.912537,-357.636841,464.208801
218,492.792175,-50.256477,439.795441,618.265198,-252.559235,478.607483,696.164429,-364.993317,478.508881
219,492.546814,-50.817650,443.140656,607.708923,-256.482300,487.755310,681.121765,-371.794739,491.625305
220,491.816986,-51.224991,445.703339,595.995789,-259.876160,496.028198,665.321533,-377.252228,503.835602
221,490.751678,-51.394348,447.653076,583.635803,-262.437103,502.972412,648.645752,-382.077240,515.500671
222,489.239868,-51.393787,449.346130,571.012817,-264.452759,508.906677,631.439758,-385.413635,525.797729
223,487.539917,-50.908085,450.323395,558.498291,-265.729218,513.672180,614.639099,-387.698303,534.764160
224,485.328674,-50.347511,450.526215,546.069092,-266.048737,517.465271,597.745056,-388.736694,542.728516
225,482.798462,-49.722923,450.395264,533.685059,-265.889984,520.403259,581.359131,-388.991882,549.957520
226,479.736969,-49.063164,449.475281,521.490112,-265.298462,522.982056,564.821594,-388.645355,556.577881
227,476.366852,-47.659100,447.975616,509.442596,-263.548676,524.815491,548.314880,-387.475647,562.278015
228,472.707947,-46.300022,446.277466,497.093048,-261.628418,526.343384,531.530762,-385.647614,567.662842
229,468.250580,-44.755981,444.741150,484.996155,-259.031647,527.138489,515.066895,-382.989746,571.656189
230,463.268768,-42.520641,443.132080,472.425781,-256.003632,527.906677,497.920868,-379.782684,575.229736
